,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
2667,4202701,Berks County (Northwest)--Wyomissing Borough PUMA,39740,"Reading, PA",415271
1030,2601704,Genesee (West) & Shiawassee Counties PUMA,22420,"Flint, MI",410849
1031,2601702,"Genesee County (Central, Outside Flint City) PUMA",22420,"Flint, MI",410849
1028,2601703,Genesee County (Central)--Flint City Area PUMA,22420,"Flint, MI",410849
2855,4101103,"Marion County (West Central)--Salem (North), Keizer Cities & Hayesville PUMA",41420,"Salem, OR",410091
2858,4100600,Linn & Benton Counties PUMA,41420,"Salem, OR",410091
2853,4100200,North Central Oregon--The Dalles City PUMA,41420,"Salem, OR",410091
2852,4101104,Marion County (West Central)--Salem City (South) & Four Corners PUMA,41420,"Salem, OR",410091
223,4804301,Jefferson County (North Central)--Beaumont City PUMA,13140,"Beaumont-Port Arthur, TX",408216
220,4804100,Deep East Texas COG (East) PUMA,13140,"Beaumont-Port Arthur, TX",408216
222,4804302,Jefferson County (Outside Beaumont City)--Port Arthur City PUMA,13140,"Beaumont-Port Arthur, TX",408216
221,4804200,Orange & Hardin Counties PUMA,13140,"Beaumont-Port Arthur, TX",408216
1611,3300900,Hillsborough County (Southeastern)--Greater Nashua City PUMA,31700,"Manchester-Nashua, NH",406678
1612,3300600,Hillsborough County (Western) PUMA,31700,"Manchester-Nashua, NH",406678
1614,3300800,Manchester City PUMA,31700,"Manchester-Nashua, NH",406678
473,3903200,Stark County (Central)--Canton & North Canton Cities PUMA,15940,"Canton-Massillon, OH",402976
475,3903100,Stark County (West)--Massillon City PUMA,15940,"Canton-Massillon, OH",402976
2864,2401400,"Wicomico, Worcester & Somerset Counties--Salisbury City PUMA",41540,"Salisbury, MD-DE",395300
2863,1000300,Sussex County PUMA,41540,"Salisbury, MD-DE",395300
1142,2802100,South Region--Jackson County PUMA,25060,"Gulfport-Biloxi-Pascagoula, MS",389255
1143,2802000,South Region--Harrison County--Gulfport & Biloxi Cities PUMA,25060,"Gulfport-Biloxi-Pascagoula, MS",389255
829,1700202,"Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA",19340,"Davenport-Moline-Rock Island, IA-IL",384584
830,1700105,Rock Island County PUMA,19340,"Davenport-Moline-Rock Island, IA-IL",384584
831,1900900,Scott County--Davenport City PUMA,19340,"Davenport-Moline-Rock Island, IA-IL",384584
2992,1300200,"Coastal Regional Commission (West)--Liberty, Bryan & Long Counties PUMA",42340,"Savannah, GA",379199
2991,1300402,Coastal Regional Commission (East)--Chatham County (East & Outside Savannah City) PUMA,42340,"Savannah, GA",379199
2990,1300300,"Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties PUMA",42340,"Savannah, GA",379199
2989,1300401,Coastal Regional Commission (East)--Chatham County (West Central)--Savannah City PUMA,42340,"Savannah, GA",379199
3276,1207300,Leon County (Outer) PUMA,45220,"Tallahassee, FL",378593
3275,1206300,Apalachee Region (Outside Leon County) PUMA,45220,"Tallahassee, FL",378593
3277,1207301,Leon County (Central)--Tallahassee City (Central) PUMA,45220,"Tallahassee, FL",378593
2416,1702400,LaSalle County PUMA,37900,"Peoria, IL",376987
2417,1701900,Tazewell County PUMA,37900,"Peoria, IL",376987
2418,1701701,Peoria County--Peoria City PUMA,37900,"Peoria, IL",376987
2419,1702501,"Knox, Stark, Bureau, Marshall & Woodford Counties PUMA",37900,"Peoria, IL",376987
1010,3705001,Cumberland County (Central)--Fayetteville City (Central & East) PUMA,22180,"Fayetteville, NC",376509
1008,3705003,Cumberland County (West)--Fayetteville City (West) PUMA,22180,"Fayetteville, NC",376509
1009,3705200,"Hoke, Richmond & Scotland Counties PUMA",22180,"Fayetteville, NC",376509
1007,3705002,Cumberland County (East)--Hope Mills & Spring Lake Towns PUMA,22180,"Fayetteville, NC",376509
1774,0102100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA",33860,"Montgomery, AL",375435
1775,0102000,Montgomery City & Pike Road Town (North) PUMA,33860,"Montgomery, AL",375435
3320,3402301,Mercer County (West Central)--Trenton City PUMA,45940,"Trenton, NJ",371398
3319,3402303,Mercer County (South) PUMA,45940,"Trenton, NJ",371398
3321,3402302,Mercer County (North)--Princeton Borough PUMA,45940,"Trenton, NJ",371398
995,4100705,Lane County (Outside Eugene & Springfield Cities) PUMA,21660,"Eugene, OR",362895
994,4100703,Lane County (West Central)--Eugene City (West & South) PUMA,21660,"Eugene, OR",362895
993,4100704,Lane County (East Central)--Eugene (Northeast) & Springfield Cities PUMA,21660,"Eugene, OR",362895
1176,3702100,Burke & McDowell Counties PUMA,25860,"Hickory-Lenoir-Morganton, NC",362510
1178,3702800,Catawba County--Hickory City PUMA,25860,"Hickory-Lenoir-Morganton, NC",362510
1247,5400800,"Cabell, Wayne & Mason Counties--Huntington City PUMA",26580,"Huntington-Ashland, WV-KY-OH",361580
1245,3905100,Scioto & Lawrence Counties PUMA,26580,"Huntington-Ashland, WV-KY-OH",361580
1246,5400900,"Putnam, Boone & Lincoln Counties PUMA",26580,"Huntington-Ashland, WV-KY-OH",361580
1244,2102800,FIVCO Area Development District PUMA,26580,"Huntington-Ashland, WV-KY-OH",361580
80,2602701,"Washtenaw County (West, Northeast & Southeast) PUMA",11460,"Ann Arbor, MI",358880
81,2602703,"Washtenaw County (East Central, Outside Ann Arbor City) PUMA",11460,"Ann Arbor, MI",358880
79,2602702,Washtenaw County (East Central)--Ann Arbor City Area PUMA,11460,"Ann Arbor, MI",358880
1812,1202103,Collier County (East) PUMA,34940,"Naples-Immokalee-Marco Island, FL",357305
1811,1202102,Collier County (Southwest) PUMA,34940,"Naples-Immokalee-Marco Island, FL",357305
1813,1202101,Collier County (Northwest) PUMA,34940,"Naples-Immokalee-Marco Island, FL",357305
2316,1208302,Marion County (Central)--Ocala City PUMA,36100,"Ocala, FL",343254
2318,1208301,Marion County (North) PUMA,36100,"Ocala, FL",343254
2315,1201701,Citrus County PUMA,36100,"Ocala, FL",343254
2317,1208303,Marion County (South Central) PUMA,36100,"Ocala, FL",343254
2790,1702901,Winnebago (Northeast) & Boone Counties PUMA,40420,"Rockford, IL",340663
2789,1702801,Winnebago County (Southeast & West)--Rockford City PUMA,40420,"Rockford, IL",340663
1324,2602102,Kalamazoo County (Central)--Kalamazoo & Portage Cities Area PUMA,28020,"Kalamazoo-Portage, MI",335340
1328,2602101,Kalamazoo County (Outer) PUMA,28020,"Kalamazoo-Portage, MI",335340
1329,2602300,Van Buren & Cass Counties PUMA,28020,"Kalamazoo-Portage, MI",335340
1040,0800103,Larimer County (North)--Fort Collins City PUMA,22660,"Fort Collins, CO",333577
1041,0800102,Larimer County (South)--Loveland City PUMA,22660,"Fort Collins, CO",333577
