GEOIDUS,GEODISPLAB,GCTARGID,GEOID,GCDISPLAB,GCLAB,2010,2011,2012,2013,2014,2015,2016
0100000US,United States,310M300US18580,18580,"United States - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",427997,431010,436817,443126,448106,452735,454726
0100000US,United States,310M300US18700,18700,"United States - Corvallis, OR Metro Area","Corvallis, OR Metro Area",85566,85999,86441,86066,87112,88271,89385
0100000US,United States,310M300US18880,18880,"United States - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",236006,238918,247584,252819,257029,262140,267059
0100000US,United States,310M300US19060,19060,"United States - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",103245,102638,101869,101331,100645,99944,99541
0100000US,United States,310M300US19100,19100,"United States - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",6452677,6571576,6704080,6813055,6945274,7089888,7233323
0100000US,United States,310M300US19140,19140,"United States - Dalton, GA Metro Area","Dalton, GA Metro Area",142318,142508,142585,142261,142853,143452,143904
0100000US,United States,310M300US19180,19180,"United States - Danville, IL Metro Area","Danville, IL Metro Area",81617,81380,80774,80495,79695,78990,78111
0100000US,United States,310M300US19300,19300,"United States - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",183199,186653,190403,195147,199745,203690,208563
0100000US,United States,310M300US19340,19340,"United States - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",380241,381119,382828,384024,383972,383426,382268
0100000US,United States,310M300US19380,19380,"United States - Dayton, OH Metro Area","Dayton, OH Metro Area",800307,801312,802216,801308,800746,799800,800683
0100000US,United States,310M300US19460,19460,"United States - Decatur, AL Metro Area","Decatur, AL Metro Area",153916,154040,153911,153222,153034,152520,152256
0100000US,United States,310M300US19500,19500,"United States - Decatur, IL Metro Area","Decatur, IL Metro Area",110779,110624,110083,109533,108479,107377,106550
0100000US,United States,310M300US19660,19660,"United States - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590727,591935,595884,601295,610384,623378,637674
0100000US,United States,310M300US19740,19740,"United States - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",2554864,2600899,2647830,2698125,2752433,2808816,2853077
0100000US,United States,310M300US19780,19780,"United States - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",571994,580851,589499,600073,611900,622580,634725
0100000US,United States,310M300US19820,19820,"United States - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",4291373,4287293,4293573,4295413,4299512,4297538,4297617
0100000US,United States,310M300US20020,20020,"United States - Dothan, AL Metro Area","Dothan, AL Metro Area",145894,146728,147631,147556,148021,148171,147834
0100000US,United States,310M300US20100,20100,"United States - Dover, DE Metro Area","Dover, DE Metro Area",162990,165258,167605,169457,171949,173533,174827
0100000US,United States,310M300US20220,20220,"United States - Dubuque, IA Metro Area","Dubuque, IA Metro Area",93926,94564,95211,95964,96582,97034,97003
0100000US,United States,310M300US20260,20260,"United States - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",279743,279775,279468,279708,279917,279381,279227
0100000US,United States,310M300US20500,20500,"United States - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",508147,515990,525158,533470,542595,551237,559535
0100000US,United States,310M300US20700,20700,"United States - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",169910,169868,168567,167271,167197,166499,166098
0100000US,United States,310M300US20740,20740,"United States - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",161662,162842,163924,164964,165151,165654,166614
0100000US,United States,310M300US20940,20940,"United States - El Centro, CA Metro Area","El Centro, CA Metro Area",174751,176227,177287,177194,178866,179806,180883
0100000US,United States,310M300US21060,21060,"United States - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",149945,151386,150567,151648,151970,148532,149538
0100000US,United States,310M300US21140,21140,"United States - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",197473,198495,199172,200354,201609,203284,203781
0100000US,United States,310M300US21300,21300,"United States - Elmira, NY Metro Area","Elmira, NY Metro Area",88972,88988,89264,88498,87506,87120,86322
0100000US,United States,310M300US21340,21340,"United States - El Paso, TX Metro Area","El Paso, TX Metro Area",807108,822888,834204,834549,837433,837208,841971
0100000US,United States,310M300US21420,21420,"United States - Enid, OK Metro Area","Enid, OK Metro Area",60758,60706,61278,62326,62839,63360,62603
0100000US,United States,310M300US21500,21500,"United States - Erie, PA Metro Area","Erie, PA Metro Area",280771,281197,281541,280613,279251,278052,276207
0100000US,United States,310M300US21660,21660,"United States - Eugene, OR Metro Area","Eugene, OR Metro Area",351976,353641,354993,355812,358442,362600,369519
0100000US,United States,310M300US21780,21780,"United States - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",311815,312666,313561,314590,315227,315713,315948
0100000US,United States,310M300US21820,21820,"United States - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",98293,98100,100330,100879,99295,99639,100605
0100000US,United States,310M300US22020,22020,"United States - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",209416,212875,217250,223834,228422,233642,238124
0100000US,United States,310M300US22140,22140,"United States - Farmington, NM Metro Area","Farmington, NM Metro Area",130135,127991,128331,126518,124055,118701,115079
0100000US,United States,310M300US22180,22180,"United States - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",367528,373288,373867,377785,378009,378422,380389
0100000US,United States,310M300US22220,22220,"United States - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",465345,475177,484290,493045,502392,513449,525032
0100000US,United States,310M300US22380,22380,"United States - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",134624,134186,135999,136641,137695,139076,140908
