,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
1827,3604006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1826,3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1825,3603211,Nassau County (West Central)--Hempstead Town (West Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1824,3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1823,3603809,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1822,3603902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1821,3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1820,3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1819,3603208,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1818,3603305,Suffolk County (East) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1816,3603104,Westchester County (Southeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1815,3603103,Westchester County (Northeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1814,3603101,Putnam County PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1813,3602801,Dutchess County (North & East) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1812,3604113,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1811,3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1810,3603310,Suffolk County (Central)--Islip Town (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1809,3603308,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1808,3603203,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1807,3603207,Nassau County (Central)--Hempstead Town (Northeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1806,3603204,Nassau County (West Central)--North Hempstead Town (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1805,3603704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1804,3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1803,3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1647,3400701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1646,3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1645,3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1644,3400308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1643,3400306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1642,3400503,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1641,3401600,Sussex County PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1640,3400800,Hunterdon County PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1639,3401103,"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1638,3401104,Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1636,3401301,Essex County (Southeast)--Newark City (North & East) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1635,3400301,Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1603,3401504,"Morris County (South)--Morristown Town, Madison & Florham Park Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1611,3401001,Somerset County (North & West) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1610,3401002,Somerset County (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1609,3401202,Ocean County (Central)--Beachwood Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1608,3401205,Ocean County (Northeast)--Point Pleasant Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1607,3401404,Essex County (Southwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1606,3401401,Essex County (Northeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1605,3400501,Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1604,3401403,Essex County (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1602,3401902,Union County (Northwest)--Summit City & Westfield Town (North) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1613,3401501,Morris County (North)--Dover Town & Kinnelon Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1601,3400304,"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1599,3400903,Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1598,3401903,Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1597,3401402,Essex County (South Central)--East Orange City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1596,3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1595,3401003,Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1594,3400902,Middlesex County (Southwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1593,3401203,Ocean County (North Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1612,3401502,Morris County (West) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1614,3400307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1634,3401201,Ocean County (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1625,3400602,Hudson County (Central)--Jersey City (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1633,3401101,Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1632,3401105,Monmouth County (Northwest)--Keansburg Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1631,3400901,Middlesex County (Southeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1630,3400907,Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1629,3400905,Middlesex County (Northeast)--Carteret Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1628,3401904,"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1627,3401800,Union County (Northeast)--Elizabeth City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1626,3400703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1624,3400601,Hudson County (Central)--Jersey City (North) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1615,3401302,Essex County (Southeast)--Newark City (Southwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1623,3400702,Hudson County (Northeast)--Union City & Hoboken Cities PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1622,3401106,Monmouth County (Central) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1621,3400906,"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1620,3401901,Union County (North Central)--Roselle Park Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1619,3400502,Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1618,3401503,Morris County (East)--Lincoln Park Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1617,3401102,Monmouth County (Southwest)--Freehold Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1616,3401204,Ocean County (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1637,3400904,Middlesex County (North Central)--Metuchen Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1310,0603713,Los Angeles County (East Central)--Covina & Walnut Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1318,0603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1317,0603730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
